Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dcscr115,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been threatened with a weapon?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr116,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been in a bad accident?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr117,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,"Other than television or at the movies, have you ever seen or heard somebody get killed or get hurt very badly or die?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr118,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">POST TRAUMATIC STRESS</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Now I'm going to ask you about upsetting things that sometimes happen to children or teenagers.</div> <div style="" width: 100%; background-color: #E5D9F7;"">Participant Card 5 (Stressful Experiences) </div>",radio,Have you ever been very upset by seeing a dead body or by seeing pictures of the dead body of somebody you knew well?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr110,,
dcscr119,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,Tobacco- like cigarettes or chewing tobacco: Ever used,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr120,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Tobacco: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr119] = '1' ,,,,,,
dcscr121,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Caffeine- like coffee, tea, or soda (1x month or more to complete section): Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr122,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Caffeine: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr121] = '1' ,,,,,,
dcscr123,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Alcohol- lilke beer, wine, or liquor: Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr124,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Alcohol: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr123] = '1' ,,,,,,
dcscr125,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,Cannabis- like marijuana: Ever used,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr126,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Cannabis: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr125] = '1' ,,,,,,
dcscr127,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,Inhalants- like sniffing glue or paint: Ever used,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr128,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Inhalants: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr127] = '1' ,,,,,,
dcscr129,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,LSD/Hallucinogens- like mushrooms or acid: Ever used,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr130,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,LSD/Hallucinogens: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr129] = '1' ,,,,,,
dcscr131,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Stimulants- like diet pills to get high, ecstasy, crystal meth: Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr132,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Stimulants: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr131] = '1' ,,,,,,
dcscr133,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Cocaine- crack, powder, crank: Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr134,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Cocaine: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr133] = '1' ,,,,,,
dcscr135,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Sedatives- like ""downers"" (valium): Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr136,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Sedatives: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr135] = '1' ,,,,,,
dcscr137,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Opiates- like heroin, oxycontin, percocet: Ever used","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr138,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Opiates: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr137] = '1' ,,,,,,
dcscr139,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,Steroids- to help improve your performance at sports or to get bigger: Ever used,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr140,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Steroids: Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr139] = '1' ,,,,,,
dcscr141,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Have you ever taken more perscription medicine or over the counter medicine than you were supposed to, or used someone else's prescription medicine to get high? 

<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: If yes, get name of substance and code under appropriate section.</div>","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr142,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",text,Name of substance,,SUBSTANCE,,,,,[dcscr141] = '1' ,,,,,,
dcscr142a,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr141] = '1' ,,,,,,
dcscr143,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",radio,"Have you ever felt like you got hooked on presciption or over the counter medicine? 

<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: If yes, get name of substance and code under appropriate section.</div>","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr144,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",text,Name of substance,,SUBSTANCE,,,,,[dcscr143] = '1' ,,,,,,
dcscr144a,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SUBSTANCE USE</div> Have you ever used any of the following:",dropdown,Age when used the most,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,[dcscr143] = '1' ,,,,,,
dcscr145,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">TOBACCO</div>",radio,"Have you ever smoked a cigarette, cigar, pipe or other tobacco product, even a single puff? ","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr146,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">TOBACCO</div>",checkbox,What is the reason(s) that you never smoked or used tobacco?,"1, Never had opportunity | 2, Never interested | 3, Didn't like smell | 4, Exposure to smoke from parents or other family members | 5, Concern about health risks | 6, Religious or cultural beliefs | 7, Parents told child not to smoke | 8, Not legal | 9, Unknown | 10, Other",,,,,,[dcscr145] = '0' ,,LV,,,,
dcscr148,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">TOBACCO</div>",notes,What is the reason(s) that you never smoked or used tobacco? Other 1,,,,,,,[dcscr146(10)] = '1',,LH,,,,
dcscr149,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">TOBACCO</div>",notes,What is the reason(s) that you never smoked or used tobacco? Other 2,,,,,,,[dcscr146(10)] = '1',,LH,,,,
dcscr150,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OTHER DISORDERS</div>",radio,Was there ever a time when you or someone else thought you needed help or treatment for any problems we haven't discussed?,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr151,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OTHER DISORDERS</div>",notes,Describe,,,,,,,[dcscr150] = '1',,LH,,,,
